Daily Calorie Target,Protein,Calories,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Disease,Price_RM,Breakfast_Price_RM,Lunch_Price_RM,Dinner_Price_RM,Snack_Price_RM
2800,160,2560,80,Oatmeal with protein powder and banana,Chicken stir-fry with brown rice,Beef and vegetable skewers with sweet potato fries,Protein bar,Weight Gain,6.8,1.7,1.7,1.7,1.7
1500,75,1305,45,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Fruit with nuts,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",8.62,2.155,2.155,2.155,2.155
2400,120,2230,70,Tofu and vegetable scramble with avocado toast,Lentil and vegetable curry with brown rice,3 chili with whole grain bread,Mixed nuts and dried fruit,Weight Gain,14.4,3.6,3.6,3.6,3.6
2500,140,2390,70,Tofu and vegetable breakfast burrito,Lentil and chickpea salad with whole grain pita,3 pasta with vegetables and cashew cream sauce,Trail mix,Weight Gain,14.37,3.5925,3.5925,3.5925,3.5925
2600,150,2440,80,Scrambled eggs with whole wheat toast and smoked salmon,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato fries,Greek yogurt with fruit and granola,Weight Gain,8.95,2.2375,2.2375,2.2375,2.2375
1400,70,1200,40,Oatmeal with berries and nuts,Lentil and vegetable soup with whole grain bread,Quinoa salad with grilled vegetables,Fruit with cottage cheese,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease, Kidney Disease",11.04,2.76,2.76,2.76,2.76
2600,130,2350,70,Tofu and vegetable stir-fry with brown rice,Lentil and vegetable curry with brown rice and naan bread,3 pizza with vegetables and cashew cheese,Fruit and nuts,Weight Gain,5.73,1.4325,1.4325,1.4325,1.4325
2400,130,2270,70,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables and brown rice,Protein bar,Weight Gain,11.31,2.8275,2.8275,2.8275,2.8275
1800,90,1530,50,Eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Fish with roasted vegetables and quinoa,Fruit with cottage cheese,Weight Gain,6.84,1.71,1.71,1.71,1.71
2200,120,2020,60,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,13.39,3.3475,3.3475,3.3475,3.3475
1800,80,1570,50,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,1 chili with brown rice,Trail mix with nuts and dried fruit,Weight Gain,12.17,3.0425,3.0425,3.0425,3.0425
1800,100,1650,50,Oatmeal with fruit and nuts,Tuna salad sandwich on whole wheat bread,Chicken stir-fry with brown rice,Mixed nuts and dried fruit,Weight Gain,13.86,3.465,3.465,3.465,3.465
2500,140,2480,80,Tofu scramble with vegetables and avocado toast,Chickpea pasta salad with roasted vegetables,Lentil and vegetable curry with brown rice,Banana with peanut butter,Weight Gain,6.98,1.745,1.745,1.745,1.745
2000,110,1860,60,Eggs with whole wheat toast and avocado,Turkey breast sandwich with mixed greens,Chicken and vegetable stir-fry,Greek yogurt with berries,Weight Gain,12.8,3.2,3.2,3.2,3.2
1600,70,1360,40,Overnight oats with chia seeds and fruit,Black bean burger on whole wheat bun with salad,Lentil and vegetable stew with whole wheat bread,Apple slices with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.06,0.765,0.765,0.765,0.765
1400,70,1280,40,Fruit and yogurt parfait,Mixed greens salad with chickpeas and tahini dressing,Tofu and vegetable stir-fry with brown rice,Almonds with dried fruit,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",8.92,2.23,2.23,2.23,2.23
3000,180,3020,100,Pancakes with fruit and nuts,Chicken and rice bowl with vegetables,Steak with sweet potato and asparagus,Protein shake with fruit and greens,Weight Gain,14.65,3.6625,3.6625,3.6625,3.6625
1800,80,1570,50,Tofu scramble with vegetables and avocado toast,Lentil and vegetable soup with whole wheat bread,Tempeh stir-fry with brown rice,Fruit salad with nuts and seeds,Weight Gain,5.02,1.255,1.255,1.255,1.255
1800,100,1650,50,Oatmeal with fruit and nuts,Tuna salad sandwich on whole wheat bread,Chicken breast with roasted vegetables,Dark chocolate with almonds,Weight Gain,13.47,3.3675,3.3675,3.3675,3.3675
1800,100,1740,60,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Fruit and nuts,Weight Gain,12.07,3.0175,3.0175,3.0175,3.0175
2500,120,2400,80,Tofu scramble with veggies,Lentil salad with quinoa and avocado,Black bean burger with sweet potato fries,Trail mix,Weight Gain,13.42,3.355,3.355,3.355,3.355
1500,80,1370,50,Tofu and vegetable stir-fry,Lentil soup with whole grain bread,Vegetable curry with brown rice,Fruit and nuts,Weight Gain,12.95,3.2375,3.2375,3.2375,3.2375
2800,140,2860,100,Oatmeal with fruit and nuts,Chicken stir-fry with brown rice,Chicken breast with roasted vegetables,Yogurt with granola,Weight Gain,7.71,1.9275,1.9275,1.9275,1.9275
2400,130,2440,80,Tofu and vegetable scramble,Quinoa salad with chickpeas and avocado,1 chili with brown rice,Protein smoothie,Weight Gain,14.81,3.7025,3.7025,3.7025,3.7025
2200,110,2070,70,Eggs with whole wheat toast,Chicken salad with whole grain bread,Chicken breast with baked potato,Apple with peanut butter,Weight Gain,9.12,2.28,2.28,2.28,2.28
1400,70,1200,40,Tofu and vegetable stir-fry,Lentil soup with whole grain bread,Vegetable curry with brown rice,Fruit and nuts,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease, Kidney Disease",14.89,3.7225,3.7225,3.7225,3.7225
3200,160,3320,120,Oatmeal with protein powder and fruit,Chicken breast with brown rice,Steak with sweet potato fries,Protein shake,Weight Gain,11.28,2.82,2.82,2.82,2.82
2000,90,1780,60,Tofu and vegetable scramble,Lentil soup with whole grain bread,Vegetable curry with brown rice,Fruit and nuts,Weight Gain,5.75,1.4375,1.4375,1.4375,1.4375
2000,100,2030,70,Greek yogurt with fruit and granola,Chicken salad with whole grain bread,Chicken breast with roasted vegetables,Trail mix,Weight Gain,7.87,1.9675,1.9675,1.9675,1.9675
2800,180,2840,80,Greek yogurt with berries and granola,Chicken breast with brown rice and roasted vegetables,Salmon with quinoa and steamed broccoli,Protein shake,Weight Gain,12.81,3.2025,3.2025,3.2025,3.2025
1800,100,1650,50,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Fruit and yogurt,Weight Gain,5.22,1.305,1.305,1.305,1.305
2000,120,2020,60,Scrambled eggs with whole-wheat toast,Chicken salad sandwich on whole-wheat bread,Baked chicken with sweet potato and green beans,Trail mix,Weight Gain,3.46,0.865,0.865,0.865,0.865
1900,90,1780,60,Tofu scramble with vegetables and whole-wheat toast,Black bean burger on a whole-wheat bun with salad,Lentil stew with brown rice,Fruit and nuts,Weight Gain,12.26,3.065,3.065,3.065,3.065
3200,200,3300,100,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and roasted vegetables,Steak with quinoa and steamed broccoli,Protein bar,Weight Gain,3.54,0.885,0.885,0.885,0.885
1600,80,1400,40,Greek yogurt with fruit and granola,Quinoa salad with vegetables,Lentil soup with whole-wheat bread,Fruit and nuts,"Weight Gain, Hypertension, Heart Disease",11.37,2.8425,2.8425,2.8425,2.8425
2800,180,2840,80,Tofu scramble with vegetables and whole-wheat toast,Chickpea pasta with vegetables and 3 cheese,Lentil stew with brown rice,Protein shake,Weight Gain,7.08,1.77,1.77,1.77,1.77
1700,80,1570,50,Scrambled eggs with whole-wheat toast,Tuna salad sandwich on whole-wheat bread,Baked fish with steamed vegetables,Fruit and yogurt,Weight Gain,7.33,1.8325,1.8325,1.8325,1.8325
2400,140,2390,70,Oatmeal with protein powder and fruit,Bean burrito with brown rice,1 chili,Protein bar,Weight Gain,4.64,1.16,1.16,1.16,1.16
1900,100,1820,60,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,3 lasagna,Fruit and nuts,Weight Gain,9.93,2.4825,2.4825,2.4825,2.4825
2000,150,2140,60,Oatmeal with berries and nuts,Grilled chicken salad with quinoa,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,7.48,1.87,1.87,1.87,1.87
1800,100,1730,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and seeds,Weight Gain,8.63,2.1575,2.1575,2.1575,2.1575
1800,130,1860,60,Scrambled eggs with whole-wheat toast,Chicken and vegetable stir-fry with brown rice,Turkey chili with cornbread,Apple slices with peanut butter,Weight Gain,3.9,0.975,0.975,0.975,0.975
2500,175,2820,80,Tofu and vegetable stir-fry with brown rice,Black bean burger on whole-wheat bun,Lentil and vegetable curry,Protein smoothie with fruit,Weight Gain,12.98,3.245,3.245,3.245,3.245
2200,160,2390,70,Greek yogurt with granola and berries,Chicken breast with roasted vegetables and quinoa,Turkey meatballs with spaghetti squash,Trail mix with nuts and seeds,Weight Gain,7.56,1.89,1.89,1.89,1.89
1500,80,1400,40,Tofu scramble with vegetables,Vegetable soup with whole-wheat bread,Lentil and vegetable curry,Fruit salad with nuts,"Weight Gain, Hypertension, Heart Disease",7.74,1.935,1.935,1.935,1.935
3000,200,3300,100,Oatmeal with protein powder,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein bar,Weight Gain,5.1,1.275,1.275,1.275,1.275
1600,100,1650,50,Tofu scramble with vegetables,Black bean burger on whole-wheat bun,Vegetable stir-fry with brown rice,Fruit with almonds,Weight Gain,6.54,1.635,1.635,1.635,1.635
2000,120,2020,60,Scrambled eggs with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable curry with brown rice,Trail mix with nuts and seeds,Weight Gain,4.36,1.09,1.09,1.09,1.09
2400,180,2640,80,Greek yogurt with fruit and granola,Chicken breast with roasted vegetables and quinoa,Salmon with asparagus and sweet potato,Protein shake with fruit,Weight Gain,4.04,1.01,1.01,1.01,1.01
1800,80,1570,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,1 chili with brown rice,Apple slices with almond butter,Weight Gain,4.26,1.065,1.065,1.065,1.065
1800,100,1650,50,Whole-wheat toast with egg and avocado,Chicken and vegetable stir-fry,Baked chicken with sweet potato and green beans,Trail mix,Weight Gain,3.59,0.8975,0.8975,0.8975,0.8975
2500,150,2430,70,Tofu scramble with spinach and mushrooms,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice and vegetables,Banana with peanut butter,Weight Gain,3.91,0.9775,0.9775,0.9775,0.9775
1600,70,1360,40,Overnight oats with fruit and nuts,Lentil soup with whole-wheat bread,Vegetable stir-fry with tofu,Apple slices with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",4.16,1.04,1.04,1.04,1.04
1800,100,1650,50,Greek yogurt with fruit and granola,Tuna salad sandwich on whole-wheat bread,Grilled chicken with roasted vegetables,Popcorn with a sprinkle of parmesan cheese,Weight Gain,13.25,3.3125,3.3125,3.3125,3.3125
2200,120,2020,60,Quinoa breakfast bowl with berries and nuts,Chickpea and vegetable stew,Bean and vegetable burrito,Trail mix with dried fruit and nuts,Weight Gain,3.72,0.93,0.93,0.93,0.93
3000,180,2840,80,Oatmeal with protein powder and fruit,Chicken and vegetable stir-fry with brown rice,Steak with sweet potato and asparagus,Trail mix with dried fruit and nuts,Weight Gain,11.64,2.91,2.91,2.91,2.91
1800,80,1570,50,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice and vegetables,Banana with peanut butter,Weight Gain,12.29,3.0725,3.0725,3.0725,3.0725
1600,70,1360,40,Overnight oats with fruit and nuts,Lentil soup with whole-wheat bread,Vegetable stir-fry with tofu,Apple slices with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",6.77,1.6925,1.6925,1.6925,1.6925
1800,80,1860,60,Oatmeal with berries and nuts,Tuna salad sandwich on whole-wheat bread with a side salad,Salmon with roasted vegetables and quinoa,Greek yogurt with fruit and granola,Weight Gain,5.35,1.3375,1.3375,1.3375,1.3375
2800,150,2720,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Lentil stew with whole-wheat bread,Protein shake with fruit ,Weight Gain,8.18,2.045,2.045,2.045,2.045
1500,70,1440,40,Tofu scramble with whole-wheat toast and avocado,Lentil soup with a side salad,1 chili with brown rice,Fruit and yogurt ,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",14.32,3.58,3.58,3.58,3.58
3200,180,3040,80,Tofu scramble with whole-wheat toast and avocado,Lentil stew with whole-wheat bread,Bean burgers with sweet potato fries,Protein shake with fruit and nuts,Weight Gain,3.32,0.83,0.83,0.83,0.83
1700,75,1630,50,Oatmeal with fruit and nuts,Black bean burgers on whole-wheat buns with a side salad,Lentil soup with whole-wheat bread,Fruit and nut mix,"Weight Gain, Kidney Disease",3.64,0.91,0.91,0.91,0.91
2200,100,2060,60,Eggs with whole-wheat toast and bacon,Chicken salad sandwich on whole-wheat bread with a side salad,Chicken stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,14.21,3.5525,3.5525,3.5525,3.5525
2400,120,2310,70,Tofu scramble with whole-wheat toast and avocado,Chickpea salad sandwich on whole-wheat bread with a side salad,Black bean burgers with brown rice and roasted vegetables,Protein shake with fruit and nuts ,Weight Gain,4.42,1.105,1.105,1.105,1.105
1600,70,1480,40,Tofu scramble with whole-wheat toast and avocado,Lentil soup with a side salad,1 chili with brown rice,Fruit and yogurt ,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",4.35,1.0875,1.0875,1.0875,1.0875
2600,140,2470,70,Eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables and quinoa,Protein shake with fruit ,Weight Gain,10.94,2.735,2.735,2.735,2.735
2000,90,1810,50,Scrambled eggs with whole-wheat toast and avocado,Lentil soup with a side salad,1 chili with brown rice,Fruit and nuts,Weight Gain,11.31,2.8275,2.8275,2.8275,2.8275
2000,120,2020,60,Oatmeal with berries and nuts,Chicken salad with whole-wheat bread,Grilled salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,4.06,1.015,1.015,1.015,1.015
1600,80,1490,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Apple slices with almond butter,Weight Gain,3.75,0.9375,0.9375,0.9375,0.9375
2200,100,2230,70,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil stew with brown rice,Banana with almond butter,Weight Gain,11.32,2.83,2.83,2.83,2.83
1400,70,1240,40,Yogurt with fruit and granola,Tuna salad with whole-wheat bread,Chicken breast with steamed vegetables,Apple slices with peanut butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",12.33,3.0825,3.0825,3.0825,3.0825
3000,180,3040,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake with fruit,Weight Gain,4.7,1.175,1.175,1.175,1.175
1800,80,1740,60,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil stew with brown rice,Banana with almond butter,Weight Gain,5.73,1.4325,1.4325,1.4325,1.4325
2000,80,1860,60,Oatmeal with fruit and nuts,Turkey sandwich with whole-wheat bread,Grilled chicken with roasted vegetables,Greek yogurt with fruit,Weight Gain,11.2,2.8,2.8,2.8,2.8
2200,100,2230,70,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with quinoa,Apple slices with almond butter,Weight Gain,3.24,0.81,0.81,0.81,0.81
2800,140,2770,90,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil stew with brown rice,Banana with almond butter,Weight Gain,5.4,1.35,1.35,1.35,1.35
1200,60,990,30,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Apple slices with almond butter,"Diabetes, Acne, Weight Loss, Hypertension, Heart Disease, Kidney Disease",3.84,0.96,0.96,0.96,0.96
2000,120,2020,60,Greek yogurt with berries and granola,Chicken salad sandwich on whole-wheat bread with a side of fruit,Salmon with roasted vegetables,Apple slices with peanut butter,Weight Gain,13,3.25,3.25,3.25,3.25
1600,80,1480,40,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with a side of whole-wheat bread,1 chili with brown rice,Mixed nuts and dried fruit,"Weight Gain, Hypertension, Heart Disease",14.05,3.5125,3.5125,3.5125,3.5125
2200,100,2185,65,Tofu and vegetable stir-fry,Black bean burger on a whole-wheat bun with a side salad,Lentil and vegetable curry with brown rice,Popcorn with nutritional yeast,Weight Gain,6.34,1.585,1.585,1.585,1.585
2500,150,2720,80,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Turkey chili with whole-wheat bread,Greek yogurt with protein powder,Weight Gain,4.5,1.125,1.125,1.125,1.125
3000,180,3130,90,Tofu and vegetable stir-fry with quinoa,Black bean burgers with sweet potato fries,Lentil loaf with roasted vegetables,Protein smoothie with banana and spinach,Weight Gain,12.27,3.0675,3.0675,3.0675,3.0675
1800,80,1650,50,Eggs with whole-wheat toast and fruit,Tuna salad sandwich on whole-wheat bread with a side of fruit,Chicken stir-fry with brown rice,Trail mix,Weight Gain,10.03,2.5075,2.5075,2.5075,2.5075
2400,140,2390,70,Quinoa porridge with berries,Chickpea salad sandwich on whole-wheat bread with a side of fruit,1 lasagna with a side salad,Hummus and veggie wraps,Weight Gain,9.73,2.4325,2.4325,2.4325,2.4325
1500,70,1360,40,Tofu and vegetable scramble with whole-wheat toast,Lentil stew with brown rice,3 pasta with marinara sauce and vegetables,Fruit salad,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",6.54,1.635,1.635,1.635,1.635
2000,100,1940,60,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-wheat bread with a side salad,Chicken and vegetable stir-fry with brown rice,Trail mix,Weight Gain,14.57,3.6425,3.6425,3.6425,3.6425
1800,90,1690,50,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Tofu and vegetable stir-fry with brown rice,Popcorn with nutritional yeast,Weight Gain,13.59,3.3975,3.3975,3.3975,3.3975
2200,120,2020,60,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,12.04,3.01,3.01,3.01,3.01
1800,80,1570,50,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit,Weight Gain,3.09,0.7725,0.7725,0.7725,0.7725
1800,80,1570,50,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit,Weight Gain,13.77,3.4425,3.4425,3.4425,3.4425
1500,70,1340,40,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",9.25,2.3125,2.3125,2.3125,2.3125
3000,160,2760,80,Scrambled eggs with whole wheat toast and avocado,Chicken breast with quinoa and vegetables,Steak with sweet potato and broccoli,Protein bar,Weight Gain,11.38,2.845,2.845,2.845,2.845
2200,100,1940,60,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit,Weight Gain,5.65,1.4125,1.4125,1.4125,1.4125
1600,70,1360,40,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",8.23,2.0575,2.0575,2.0575,2.0575
1500,60,1300,40,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",12.21,3.0525,3.0525,3.0525,3.0525
3200,180,3050,90,Scrambled eggs with whole wheat toast and avocado,Chicken breast with quinoa and vegetables,Steak with sweet potato and broccoli,Protein bar,Weight Gain,13.88,3.47,3.47,3.47,3.47
1700,70,1445,45,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",13.93,3.4825,3.4825,3.4825,3.4825
2200,140,2190,70,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,3.6,0.9,0.9,0.9,0.9
2000,120,1820,60,Tofu scramble with vegetables,Lentil soup with whole-grain bread,Chickpea pasta with tomato sauce,Trail mix,Weight Gain,11.32,2.83,2.83,2.83,2.83
2800,160,2805,85,Tofu breakfast burrito with avocado,Black bean burger on a whole-grain bun,Tempeh stir-fry with brown rice,Mixed nuts and dried fruit,Weight Gain,11.35,2.8375,2.8375,2.8375,2.8375
1800,100,1570,50,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-grain bread,Chicken stir-fry with brown rice,Fruit and nuts,Weight Gain,9.18,2.295,2.295,2.295,2.295
3000,180,3220,100,Scrambled eggs with whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake,Weight Gain,4.69,1.1725,1.1725,1.1725,1.1725
1600,80,1320,40,Tofu scramble with vegetables,Lentil soup with whole-grain bread,3 chili with brown rice,Fruit and vegetables,"Weight Gain, Hypertension, Heart Disease",14.32,3.58,3.58,3.58,3.58
2400,130,2350,70,Oatmeal with fruit and nuts,Quinoa salad with vegetables,Bean burrito with brown rice,Trail mix,Weight Gain,5.43,1.3575,1.3575,1.3575,1.3575
2200,120,2020,60,Greek yogurt with fruit and granola,Chicken breast with brown rice and vegetables,Salmon with roasted vegetables,Protein bar,Weight Gain,8.28,2.07,2.07,2.07,2.07
2000,120,1820,60,Tofu scramble with vegetables,Lentil soup with whole-grain bread,3 chili with brown rice,Fruit and vegetables,Weight Gain,13.41,3.3525,3.3525,3.3525,3.3525
1800,100,1570,50,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-grain bread,Chicken stir-fry with brown rice,Fruit and nuts,Weight Gain,12.5,3.125,3.125,3.125,3.125
2200,150,2140,60,Oatmeal with berries and nuts,Grilled chicken salad with whole grain bread,Salmon with roasted vegetables,Greek yogurt with fruit and granola,Weight Gain,14.58,3.645,3.645,3.645,3.645
1800,80,1650,50,Tofu scramble with avocado toast,Quinoa bowl with roasted vegetables and chickpeas,Lentil soup with whole grain bread,Apple with almond butter,Weight Gain,14.44,3.61,3.61,3.61,3.61
2000,120,1775,55,Scrambled eggs with whole grain toast,Chicken breast with brown rice and steamed vegetables,Lentil stew with whole grain bread,Fruit salad with Greek yogurt,Weight Gain,11.86,2.965,2.965,2.965,2.965
2400,160,2470,70,Tofu and vegetable stir-fry,Chickpea and vegetable curry with brown rice,Lentil and vegetable soup with whole grain bread,Trail mix with nuts and seeds,Weight Gain,6.33,1.5825,1.5825,1.5825,1.5825
1600,70,1360,40,Overnight oats with berries and chia seeds,Black bean burger on a whole wheat bun with salad,Lentil stew with vegetables and brown rice,Fruit with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",10.35,2.5875,2.5875,2.5875,2.5875
2800,200,2920,80,Protein smoothie with fruit and spinach,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein bar,Weight Gain,5.61,1.4025,1.4025,1.4025,1.4025
2000,100,1940,60,Tofu scramble with vegetables and avocado toast,Chickpea pasta with vegetable sauce,Bean and vegetable stir-fry with brown rice,Fruit with nuts and seeds,Weight Gain,5.23,1.3075,1.3075,1.3075,1.3075
2000,140,1810,50,Greek yogurt with berries and granola,Chicken salad sandwich on whole wheat bread,Turkey chili with whole grain bread,Popcorn with a sprinkle of nutritional yeast,Weight Gain,5.9,1.475,1.475,1.475,1.475
1800,100,1650,50,Scrambled eggs with whole grain toast,Quinoa salad with roasted vegetables and chickpeas,Lentil soup with whole grain bread,Trail mix with nuts and seeds,Weight Gain,6.67,1.6675,1.6675,1.6675,1.6675
1800,100,1650,50,Overnight oats with berries and chia seeds,Black bean burger on a whole wheat bun with salad,Lentil stew with vegetables and brown rice,Fruit with almond butter,Weight Gain,6.95,1.7375,1.7375,1.7375,1.7375
2200,120,2020,60,Greek Yogurt with Berries and Nuts,Tuna Salad Sandwich on Whole Wheat Bread,Chicken Stir-Fry with Brown Rice,Apple with Peanut Butter,Weight Gain,3.85,0.9625,0.9625,0.9625,0.9625
2000,100,1830,70,Tofu Scramble with Avocado Toast,Quinoa Salad with Grilled Vegetables,Lentil Soup with Whole Wheat Bread,Mixed Nuts and Dried Fruits,Weight Gain,8.86,2.215,2.215,2.215,2.215
2800,150,2520,80,Oatmeal with Protein Powder and Berries,Chicken Breast with Brown Rice and Steamed Vegetables,Salmon with Roasted Sweet Potatoes,Yogurt Parfait with Granola,Weight Gain,13.42,3.355,3.355,3.355,3.355
1800,80,1650,50,Tofu Scramble with Whole Wheat Toast,Lentil and Vegetable Curry with Brown Rice,Black Bean Burgers on Whole Wheat Buns,Fruit Salad with Coconut Yogurt,Weight Gain,5.35,1.3375,1.3375,1.3375,1.3375
2800,160,2940,100,Eggs with Whole Wheat Toast and Avocado,Chicken and Vegetable Wrap on Whole Wheat Tortilla,Grilled Steak with Sweet Potato Fries,Protein Shake with Banana,Weight Gain,10.05,2.5125,2.5125,2.5125,2.5125
1800,80,1570,50,Tofu Scramble with Whole Wheat Toast,Lentil and Vegetable Curry with Brown Rice,Black Bean Burgers on Whole Wheat Buns,Fruit Salad with Coconut Yogurt,Weight Gain,10.15,2.5375,2.5375,2.5375,2.5375
2400,120,2320,80,Greek Yogurt with Berries and Nuts,Quinoa Salad with Grilled Vegetables,Lentil Soup with Whole Wheat Bread,Mixed Nuts and Dried Fruits,Weight Gain,3.38,0.845,0.845,0.845,0.845
1600,70,1360,40,Tofu Scramble with Whole Wheat Toast,Lentil and Vegetable Curry with Brown Rice,Black Bean Burgers on Whole Wheat Buns,Fruit Salad with Coconut Yogurt,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.92,0.98,0.98,0.98,0.98
2500,130,2270,70,Oatmeal with Protein Powder and Berries,Chicken Breast with Brown Rice and Steamed Vegetables,Salmon with Roasted Sweet Potatoes,Yogurt Parfait with Granola,Weight Gain,3.58,0.895,0.895,0.895,0.895
2600,130,2610,90,Greek Yogurt with Berries and Nuts,Quinoa Salad with Grilled Vegetables,Lentil Soup with Whole Wheat Bread,Mixed Nuts and Dried Fruits,Weight Gain,9.15,2.2875,2.2875,2.2875,2.2875
3000,180,2840,80,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with roasted sweet potatoes and broccoli,Greek yogurt with almonds and fruit,Weight Gain,11.48,2.87,2.87,2.87,2.87
1800,100,1650,50,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix,Weight Gain,6.55,1.6375,1.6375,1.6375,1.6375
2200,120,2020,60,Eggs with whole wheat toast and fruit,Tuna salad sandwich on whole grain bread,Chicken stir-fry with brown rice,Apple with peanut butter,Weight Gain,6.03,1.5075,1.5075,1.5075,1.5075
2000,100,1820,60,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix,Weight Gain,5.15,1.2875,1.2875,1.2875,1.2875
3500,200,3300,100,Greek yogurt with granola and berries,Chicken breast with brown rice and vegetables,Steak with sweet potato fries and mixed greens,Protein shake,Weight Gain,8.4,2.1,2.1,2.1,2.1
1700,90,1485,45,Tofu scramble with whole grain toast and avocado,Lentil soup with whole grain bread,Chickpea curry with brown rice,Fruit and nut mix,"Weight Gain, Hypertension, Heart Disease",4.88,1.22,1.22,1.22,1.22
